time (ms),time_raw,x_accel,y_accel,z_accel,g_measured
1057.5667,5340.550884,0.491898,-0.871887,0.460739,1.102012
1060.5206,5340.580423,0.187637,-0.933762,0.410995,1.037321
1063.4745,5340.609962,0.15419,-0.902954,0.275574,0.956578
1066.4288,5340.639505,0.015808,-0.984665,0.095764,0.989437
1069.3832,5340.669049,0.060349,-1.036697,0.101486,1.0434
1072.3374,5340.698591,0.039536,-1.00708,0.076508,1.010756
1075.2917,5340.728134,-0.01001,-0.991669,0.039581,0.992509
1078.2455,5340.757672,-0.042542,-1.0009,0.01358,1.001896
1081.1994,5340.787211,-0.022964,-1.008896,0.00444,1.009167
1084.1532,5340.816749,-0.014664,-1.019455,0.018585,1.01973
1087.1074,5340.846291,-0.039352,-1.0271,0.027817,1.02823
1090.0617,5340.875834,-0.023102,-0.989136,0.037399,0.990112
1093.0158,5340.905375,-0.010452,-0.99646,0.049255,0.997731
1095.9698,5340.934915,-0.025375,-0.996582,0.049454,0.998131
1098.9239,5340.964456,-0.037216,-0.981766,0.03685,0.983162
1101.8784,5340.994001,-0.066818,-0.979004,0.03685,0.981973
1104.8328,5341.023545,-0.083267,-0.972488,0.036407,0.976725
1107.7866,5341.053083,-0.055237,-0.982147,0.03392,0.984284
1110.7412,5341.082629,-0.051971,-0.982773,0.049805,0.985405
1113.6953,5341.11217,-0.064026,-0.986954,0.049835,0.990283
1116.6492,5341.141709,-0.080399,-0.972382,0.033142,0.976262
1119.6035,5341.171252,-0.077454,-1.010193,0.033249,1.013703
1122.558,5341.200797,-0.107803,-0.989716,0.028931,0.99599
1125.5116,5341.230333,-0.089432,-0.972763,0.06192,0.978826
1128.4661,5341.259878,-0.016403,-0.984985,0.072021,0.987751
1131.4199,5341.289416,-0.006271,-0.99527,0.098969,1.000198
1134.3738,5341.318955,-0.046738,-0.975388,0.100586,0.981673
1137.3279,5341.348496,-0.070145,-0.978088,0.083008,0.984107
1140.2819,5341.378036,-0.00737,-1.011093,0.066162,1.013282
1143.2355,5341.407572,-0.009567,-0.956284,0.053619,0.957833
1146.1842,5341.437059,-0.063431,-0.970596,0.074371,0.975506
1149.138,5341.466597,-0.105774,-1.000931,0.112732,1.012798
1152.0923,5341.49614,-0.038834,-0.972656,0.095337,0.978089
1155.0462,5341.525679,-0.076935,-0.988266,0.241592,1.020272
1158,5341.555217,0.016006,-0.973999,0.170425,0.988926
1160.9536,5341.584753,0.264542,-0.779053,-0.034821,0.823479
1163.9079,5341.614296,-0.077026,-1.282227,0.093796,1.287958
1166.8613,5341.64383,-0.393845,-1.063278,-0.082535,1.136876
1169.8152,5341.673369,0.414474,-0.922318,-1.112839,1.503619
1172.7688,5341.702905,1.074585,-1.413239,2.76062,3.282225
1175.7226,5341.732443,0.425339,-0.933243,0.651871,1.215233
1178.674,5341.761957,0.187347,-0.764557,0.49585,0.93033
1181.6304,5341.791521,0.136322,-0.67012,0.342697,0.764909
1184.5844,5341.821061,0.131195,-0.494171,0.206253,0.551323
1187.5383,5341.8506,-0.071274,-0.360886,0.159363,0.400893
1190.4921,5341.880138,0.097351,-0.337219,0.117447,0.370119
1193.4459,5341.909676,0.235703,-0.537582,0.120758,0.599277
1196.3995,5341.939212,0.355148,-0.555847,0.264969,0.710848
1199.3531,5341.968748,0.227173,-0.687088,0.308823,0.786809
1202.3069,5341.998286,0.176697,-0.882156,0.417542,0.991848
1205.2608,5342.027825,0.095352,-1.073349,0.436386,1.162585
1208.2145,5342.057362,0.239136,-1.046738,0.334854,1.12471
1211.1683,5342.0869,0.403488,-1.051407,0.281219,1.160751
1214.1221,5342.116438,0.37413,-1.059143,0.425278,1.201091
1217.0755,5342.145972,0.263214,-0.987839,0.403259,1.098965
1220.0293,5342.17551,0.012329,-1.125015,0.223511,1.147069
1222.9833,5342.20505,-0.114929,-1.069244,0.136902,1.084082
1225.9371,5342.234588,-0.123398,-1.117416,0.070938,1.126445
1228.891,5342.264127,-0.060837,-1.277664,0.013885,1.279187
1231.8449,5342.293666,0.021835,-1.243149,0.088104,1.246458
1234.7988,5342.323205,0.012436,-1.247864,0.1633,1.258565
